gameid,teamname,result
ESPORTSTMNT03_2542777,RED Canids,1
ESPORTSTMNT03_2542777,INTZ,0
ESPORTSTMNT03_2563015,Immortals,0
ESPORTSTMNT03_2563015,Cloud9,1
ESPORTSTMNT03_2542841,Rensga eSports,0
ESPORTSTMNT03_2542841,paiN Gaming,1
ESPORTSTMNT03_2563081,TSM,0
ESPORTSTMNT03_2563081,Golden Guardians,1
ESPORTSTMNT03_2563115,Evil Geniuses,0
ESPORTSTMNT03_2563115,100 Thieves,1
ESPORTSTMNT03_2563144,FlyQuest,0
ESPORTSTMNT03_2563144,Team Liquid,1
ESPORTSTMNT03_2563162,NRG Kia,0
ESPORTSTMNT03_2563162,Dignitas,1
ESPORTSTMNT03_2564348,BNK FEARX,1
ESPORTSTMNT03_2564348,OKSavingsBank Brion,0
ESPORTSTMNT03_2564408,OKSavingsBank Brion,1
ESPORTSTMNT03_2564408,BNK FEARX,0
